data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1RON;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pe³ny numer tabeli;
;bat (Tajlandia);dolar amerykañski;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Wêgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duñska;korona islandzka;korona norweska;korona szwedzka;lej rumuñski;lira turecka;nowy izraelski szekel;peso chilijskie;peso filipiñskie;peso meksykañskie;rand (Republika Po³udniowej Afryki);real (Brazylia);ringgit (Malezja);rupia indonezyjska;rupia indyjska;won po³udniowokoreañski;yuan renminbi (Chiny);SDR (MFW);
20260102;0,1145;3,5963;2,4092;0,4615;2,6212;2,0750;2,7966;4,2156;1,0987;4,5314;4,8391;0,0850;2,2920;0,1743;0,5644;2,8639;0,3570;0,3896;0,8270;0,0835;1,1325;0,3996;0,0611;0,2005;0,2175;0,6565;0,8871;2,1509;3,9874;0,2488;0,5140;4,9562;1;001/A/NBP/2026;
20260105;0,1151;3,6045;2,4062;0,4629;2,6163;2,0726;2,7992;4,2110;1,0955;4,5263;4,8458;0,0849;2,2969;0,1742;0,5637;2,8569;0,3572;0,3905;0,8272;0,0837;1,1346;0,3978;0,0610;0,2001;0,2189;0,6647;0,8851;2,1532;3,9925;0,2491;0,5161;4,9508;2;002/A/NBP/2026;
20260107;0,1152;3,6035;2,4281;0,4627;2,6087;2,0855;2,8110;4,2105;1,0941;4,5279;4,8629;0,0844;2,3031;0,1738;0,5635;2,8604;0,3580;0,3915;0,8272;0,0836;1,1338;0,4029;0,0607;0,2004;0,2193;0,6708;0,8880;2,1481;4,0091;0,2491;0,5153;4,9503;3;003/A/NBP/2026;
20260108;0,1144;3,6070;2,4142;0,4629;2,5993;2,0721;2,8090;4,2119;1,0944;4,5228;4,8471;0,0838;2,3011;0,1735;0,5636;2,8613;0,3563;0,3912;0,8280;0,0836;1,1358;0,4028;0,0609;0,2007;0,2186;0,6698;0,8879;2,1483;4,0068;0,2484;0,5166;4,9519;4;004/A/NBP/2026;
20260109;0,1151;3,6184;2,4175;0,4642;2,6081;2,0728;2,8119;4,2127;1,0917;4,5222;4,8525;0,0840;2,2942;0,1732;0,5638;2,8580;0,3585;0,3921;0,8280;0,0838;1,1421;0,4033;0,0611;0,2009;0,2185;0,6716;0,8883;2,1538;4,0129;0,2482;0,5182;4,9528;5;005/A/NBP/2026;
20260112;0,1154;3,6037;2,4167;0,4622;2,5963;2,0738;2,8016;4,2097;1,0904;4,5212;4,8482;0,0833;2,2822;0,1733;0,5634;2,8599;0,3579;0,3928;0,8271;0,0835;1,1410;0,4034;0,0608;0,2012;0,2195;0,6712;0,8871;2,1413;3,9966;0,2453;0,5168;4,9493;6;006/A/NBP/2026;
20260113;0,1147;3,6083;2,4197;0,4626;2,6006;2,0821;2,8035;4,2116;1,0912;4,5235;4,8644;0,0835;2,2710;0,1735;0,5636;2,8729;0,3581;0,3932;0,8275;0,0835;1,1492;0,4079;0,0608;0,2015;0,2199;0,6716;0,8893;2,1395;4,0007;0,2450;0,5173;4,9515;7;007/A/NBP/2026;
20260114;0,1150;3,6140;2,4198;0,4635;2,6016;2,0771;2,8073;4,2110;1,0933;4,5059;4,8631;0,0840;2,2764;0,1739;0,5635;2,8724;0,3585;0,3925;0,8273;0,0837;1,1489;0,4079;0,0608;0,2029;0,2208;0,6726;0,8929;2,1435;4,0038;0,2455;0,5183;4,9508;8;008/A/NBP/2026;
20260115;0,1152;3,6153;2,4207;0,4635;2,6005;2,0787;2,8087;4,2068;1,0901;4,5164;4,8580;0,0832;2,2824;0,1735;0,5630;2,8774;0,3588;0,3938;0,8268;0,0835;1,1458;0,4101;0,0608;0,2032;0,2208;0,6703;0,8917;2,1412;4,0036;0,2466;0,5188;4,9459;9;009/A/NBP/2026;
